x,y
6559.55,0.4368
6559.666666666667,0.4384
6559.666666666667,0.44
6559.783333333334,0.4416
6559.783333333334,0.4448
6559.9,0.4464
6559.9,0.448
6560.016666666666,0.4496
6560.016666666666,0.4528
6560.133333333333,0.4544
6560.133333333333,0.4576
6560.25,0.4592
6560.25,0.4624
6560.366666666667,0.464
6560.366666666667,0.4656
6560.483333333334,0.4672
6560.483333333334,0.4704
6560.6,0.472
6560.6,0.4752
6560.716666666666,0.4768
6560.716666666666,0.48
6560.833333333333,0.4816
6560.833333333333,0.4848
6560.95,0.4864
6560.95,0.4896
6561.066666666667,0.4912
6561.066666666667,0.496
6561.183333333333,0.4976
6561.183333333333,0.4992
6561.3,0.5008
6561.3,0.504
6561.416666666667,0.5056
6561.416666666667,0.5072
6561.533333333334,0.5088
6561.533333333334,0.5104
6561.65,0.512
6561.65,0.5152
6561.766666666666,0.5168
6561.766666666666,0.52
6561.883333333333,0.5216
6561.883333333333,0.5232
6562.0,0.5248
6562.0,0.5264
6562.116666666667,0.528
6562.116666666667,0.5296
6562.35,0.5328
6562.35,0.5344
6562.466666666666,0.536
6562.466666666666,0.5376
6562.7,0.5408
6562.7,0.5424
6562.933333333333,0.5456
6562.933333333333,0.5472
6563.166666666667,0.5504
6563.166666666667,0.552
6563.633333333333,0.5584
6563.633333333333,0.56
6563.75,0.56
6564.216666666666,0.5664
6564.566666666667,0.5664
6564.683333333333,0.568
6564.8,0.568
6564.916666666667,0.5696
6565.266666666666,0.5696
6565.383333333333,0.568
6565.85,0.568
6565.966666666666,0.5664
6566.083333333333,0.5664
6566.2,0.5648
6566.316666666667,0.5648
6566.433333333333,0.5632
6566.666666666667,0.5632
6566.783333333334,0.5616
6566.9,0.5616
6567.133333333333,0.5584
6567.25,0.5584
6567.366666666667,0.5568
6567.483333333334,0.5568
6567.716666666666,0.5536
6567.833333333333,0.5536
6567.95,0.552
6568.183333333333,0.552
6568.416666666667,0.5488
6569.116666666667,0.5488
6569.233333333334,0.5472
6569.583333333333,0.5472
